cron_datetime,npc_kills,pod_kills,ship_jumps,ship_kills
2017-11-10 01:06:03.055337,344706,602,142553,977
2017-11-10 02:06:02.943152,325972,505,128120,917
2017-11-10 03:06:02.333530,328448,486,124013,903
2017-11-10 04:06:02.725876,312421,450,123235,906
2017-11-10 05:06:03.152724,310202,452,121476,944
2017-11-10 06:06:02.576968,318432,407,116232,847
2017-11-10 07:06:02.292833,333673,361,109988,765
2017-11-10 08:06:02.675128,365229,357,107251,758
2017-11-10 09:06:03.079081,419396,342,108797,778
2017-11-10 10:06:02.645948,443056,355,111635,725
2017-11-10 11:06:02.879946,415346,346,114504,628
2017-11-10 12:06:03.160968,303043,249,94432,494
2017-11-10 13:06:02.475490,354308,275,96226,587
2017-11-10 14:06:02.924602,524098,406,134531,869
2017-11-10 15:06:02.512640,548212,523,152582,1140
2017-11-10 16:06:02.982568,566247,621,167986,1317
2017-11-10 17:06:02.456650,593277,608,181741,1215
2017-11-10 18:06:07.909111,592306,737,189742,1356
2017-11-10 19:06:02.282751,565005,948,200284,1643
2017-11-10 20:06:03.266228,523610,1133,223353,1949
2017-11-10 21:06:02.748156,507368,1393,238281,2237
2017-11-10 22:06:03.743593,507903,1314,234468,2202
2017-11-10 23:06:03.287396,488242,1051,223249,2023
2017-11-11 00:06:02.723207,427126,909,196690,1707
2017-11-11 01:06:03.720830,371595,853,178353,1577
2017-11-11 02:06:03.079966,329060,866,160869,1607
2017-11-11 03:06:02.506602,316816,736,148515,1297
2017-11-11 04:06:03.312572,332834,653,144616,1096
2017-11-11 05:06:02.604310,341844,580,141055,981
2017-11-11 06:06:02.991327,365268,531,137410,966
2017-11-11 07:06:02.728633,390390,481,133650,937
2017-11-11 08:06:03.664659,435869,456,136038,868
2017-11-11 09:06:04.607540,489337,514,141797,939
2017-11-11 10:06:03.162376,495735,515,150775,936
2017-11-11 11:06:02.573779,545747,574,164284,1089
2017-11-11 12:06:03.053177,479452,505,138077,1081
2017-11-11 13:06:02.442752,386411,443,138766,916
2017-11-11 14:06:03.074136,512240,598,180777,1138
2017-11-11 15:06:03.031229,635486,852,205052,1458
2017-11-11 16:06:02.515741,627104,844,222685,1454
2017-11-11 17:06:02.943091,626876,844,233592,1550
2017-11-11 18:06:02.416416,595179,961,246704,1722
2017-11-11 19:06:02.844314,560962,1310,258628,2315
2017-11-11 20:06:02.279045,541640,1424,265535,2540
2017-11-11 21:06:02.900894,537796,1329,266033,2104
2017-11-11 22:06:02.499881,521493,1443,263992,2129
2017-11-11 23:06:03.100228,482857,1436,256159,2236
2017-11-12 00:06:02.614581,462467,1303,235684,2158
2017-11-12 01:06:03.131705,427700,1003,206959,1848
2017-11-12 02:06:02.582980,378221,818,182146,1515
2017-11-12 03:06:02.915156,347159,717,167816,1254
2017-11-12 04:06:03.262969,348920,669,158858,1123
2017-11-12 05:06:02.686889,356513,686,152191,1148
2017-11-12 06:06:03.223980,346330,677,148399,1207
2017-11-12 07:06:02.340266,385480,680,145089,1206
2017-11-12 08:06:02.754136,430335,608,143426,1082
2017-11-12 09:06:03.264227,486883,524,151171,968
2017-11-12 10:06:02.763014,544999,509,165005,983
2017-11-12 11:06:03.438969,588136,538,179926,1088
2017-11-12 12:06:02.836133,465406,516,155398,923
2017-11-12 13:06:02.325519,433088,531,154788,874
2017-11-12 14:06:02.807963,621588,702,198441,1243
2017-11-12 15:06:03.133287,720259,813,225298,1491
2017-11-12 16:06:02.743376,704509,877,242077,1864
2017-11-12 17:06:02.693794,666890,1327,257952,2552
2017-11-12 18:06:03.219928,622094,1631,272031,2747
2017-11-12 19:06:02.825430,596352,1385,278782,2326
2017-11-12 20:06:03.321593,585429,1195,279932,2114
2017-11-12 21:06:02.613932,563509,1344,287126,2402
2017-11-12 22:06:03.217556,543001,1390,279367,2417
2017-11-12 23:06:02.697391,504084,1173,249823,2159
2017-11-13 00:06:03.154711,434798,998,214196,1985
2017-11-13 01:06:02.747171,369767,837,178186,1560
2017-11-13 02:06:08.336789,335877,669,154859,1204
2017-11-13 03:06:02.931925,321333,544,145847,993
2017-11-13 04:06:02.419577,312365,580,139959,1071
2017-11-13 05:06:02.943609,309484,604,135822,1142
2017-11-13 06:06:02.864152,305942,492,126971,917
2017-11-13 07:06:02.955302,317927,425,117270,784
2017-11-13 08:06:02.560615,345513,400,109925,640
2017-11-13 09:06:02.936134,381011,353,108678,550
2017-11-13 10:06:02.390502,395896,346,111662,594
2017-11-13 11:06:02.883260,405080,353,111757,612
2017-11-13 12:06:02.196458,297775,289,83807,457
2017-11-13 13:06:02.619876,254375,220,76578,400
2017-11-13 14:06:02.915119,399599,290,110790,540
2017-11-13 15:06:02.386063,478462,361,133655,654
2017-11-13 16:06:02.834867,504318,430,147080,781
2017-11-13 17:06:02.269400,507365,552,162367,930
2017-11-13 18:06:02.667750,511111,638,182160,1069
2017-11-13 20:06:02.373720,518321,854,219334,1407
2017-11-13 21:06:02.847343,507306,980,234236,1607
2017-11-13 22:06:02.328438,502502,973,228884,1700
2017-11-13 23:06:02.656103,458100,905,203082,1674
2017-11-14 00:06:03.084573,389655,751,165819,1349
2017-11-14 01:06:02.488407,336739,558,141666,1016
2017-11-14 02:06:02.953522,318617,479,130152,895
2017-11-14 03:06:02.301533,314356,461,127561,885
2017-11-14 04:06:02.705993,312733,514,130844,940
2017-11-14 05:06:03.065094,305366,580,130086,1041
2017-11-14 06:06:02.567925,314251,534,117611,954
2017-11-14 07:06:02.230363,330496,415,105884,745
2017-11-14 08:06:02.490362,346294,324,101760,614
2017-11-14 09:06:02.886273,368190,314,102464,564
2017-11-14 10:06:02.372116,397413,333,106043,576
2017-11-14 11:06:02.626538,418395,331,112180,578
2017-11-14 12:06:03.152569,317102,376,86904,576
2017-11-14 13:06:02.648128,290504,344,81680,515
2017-11-14 14:06:03.085293,452417,352,116281,585
2017-11-14 15:06:02.504045,532814,430,135713,764
2017-11-14 16:06:03.020393,554414,460,145419,846
2017-11-14 17:06:02.508562,581747,499,153191,982
2017-11-14 18:06:02.993647,594729,565,169015,1179
2017-11-14 19:06:02.402216,585648,722,191241,1266
2017-11-14 20:06:02.994494,565245,844,209323,1261
2017-11-14 21:06:02.649589,542309,1198,217565,1890
2017-11-14 22:06:03.187602,510315,1293,212920,2141
2017-11-14 23:06:02.641515,463350,953,186194,1537
2017-11-15 00:06:03.246438,403946,794,155256,1271
2017-11-15 01:06:02.869131,346794,680,137298,1183
2017-11-15 02:06:02.255417,321329,598,127383,1051
2017-11-15 03:06:02.639442,320647,515,122377,925
2017-11-15 04:06:03.033246,319509,552,124921,960
2017-11-15 05:06:02.410541,325522,528,119636,942
2017-11-15 06:06:02.791415,323144,402,110394,777
2017-11-15 07:06:02.558842,333945,428,105901,694
2017-11-15 08:06:08.008744,359657,387,101767,605
2017-11-15 09:06:02.488364,383215,317,101008,502
2017-11-15 10:06:02.951305,425598,331,104263,534
2017-11-15 11:06:03.198028,434676,407,109701,664
2017-11-15 12:06:02.667838,314889,385,90853,575
2017-11-15 13:06:03.166196,311220,446,91069,634
2017-11-15 14:06:02.708969,477447,512,121158,758
2017-11-15 15:06:03.088036,544553,423,139188,758
2017-11-15 16:06:03.086563,548330,562,151534,1007
2017-11-15 17:06:02.501960,546122,606,159330,1060
2017-11-15 18:06:03.212579,566972,550,170984,1002
2017-11-15 19:06:02.653984,583855,678,191825,1178
2017-11-15 20:06:03.373779,584395,774,213296,1291
2017-11-15 21:06:02.805572,569110,946,227442,1550
2017-11-15 22:06:03.477829,533113,1021,219979,1695
2017-11-15 23:06:03.062247,466430,854,191307,1564
2017-11-16 00:06:02.757088,398032,664,163217,1278
2017-11-16 01:06:03.277981,345644,522,139736,969
2017-11-16 02:06:03.829431,313781,481,125286,817
2017-11-16 03:06:03.261784,309892,548,121311,898
2017-11-16 04:06:02.759753,319004,559,122911,993
2017-11-16 05:06:03.268035,324618,538,123171,1122
2017-11-16 06:06:02.672369,325424,547,117587,1063
2017-11-16 07:06:02.881613,327239,449,107939,825
2017-11-16 08:06:02.394955,350555,354,104433,674
2017-11-16 09:06:02.820691,384062,281,105866,553
2017-11-16 10:06:03.268793,420543,285,108329,532
2017-11-16 11:06:03.317500,436193,349,111814,575
2017-11-16 12:06:02.521218,308476,291,91100,471
2017-11-16 13:06:02.853568,322567,275,89327,516
2017-11-16 14:06:03.294863,531424,376,122900,715
2017-11-16 15:06:02.726963,595905,379,136247,768
2017-11-16 16:06:03.136879,597721,441,148102,856
2017-11-16 17:06:02.826578,595263,541,165535,914
2017-11-16 18:06:03.186186,589645,568,182543,1023
2017-11-16 19:06:02.726096,575762,707,198575,1231
2017-11-16 20:06:03.134391,568008,923,217830,1541
2017-11-16 21:06:02.882673,564277,996,227264,1961
2017-11-16 22:06:02.536419,521502,979,218899,2073
2017-11-16 23:06:03.153400,468129,883,194302,1707
2017-11-17 00:06:02.586050,413513,701,165122,1324
2017-11-17 01:06:03.190530,375350,542,140699,1107
2017-11-17 02:06:02.740432,346968,472,125994,997
2017-11-17 03:06:03.294986,328699,535,123681,973
2017-11-17 04:06:02.767935,334622,596,125089,967
2017-11-17 05:06:03.113892,323894,571,124024,951
2017-11-17 06:06:02.237177,320971,487,119098,902
2017-11-17 07:06:02.328780,349012,438,112589,860
2017-11-17 08:06:02.720686,378342,392,110589,739
2017-11-17 09:06:03.240979,422155,319,112962,675
2017-11-17 10:06:02.747621,474179,300,114204,674
2017-11-17 11:06:02.736686,488223,302,120359,595
2017-11-17 12:06:02.933923,343667,276,100883,465
2017-11-17 13:06:02.423698,340003,289,102818,508
2017-11-17 14:06:02.933941,504781,429,137167,747
2017-11-17 15:06:02.428353,531018,525,156590,901
2017-11-17 16:06:02.992494,553386,598,174941,1169
2017-11-17 17:06:02.723136,562850,653,185746,1263
2017-11-17 18:06:03.424793,564354,643,190559,1217
2017-11-17 19:06:02.960223,575119,737,205794,1380
2017-11-17 20:06:02.647246,559748,900,212353,1677
2017-11-17 21:06:03.119482,526496,1120,215531,2054
2017-11-17 22:06:02.732047,509939,1044,216586,2093
2017-11-17 23:06:03.266036,482980,919,206733,1990
2017-11-18 00:06:02.803217,422918,851,185170,1806
2017-11-18 01:06:02.314128,356929,666,154835,1372
